name,description,packagelist,default,uservisible
"Anaconda tools,Anaconda 工具",",","{""authselect"": ""mandatory"", ""btrfs-progs"": ""mandatory"", ""chrony"": ""mandatory"", ""cryptsetup"": ""mandatory"", ""dosfstools"": ""mandatory"", ""dracut-network"": ""mandatory"", ""e2fsprogs"": ""mandatory"", ""efibootmgr"": ""mandatory"", ""exfatprogs"": ""mandatory"", ""firewalld"": ""mandatory"", ""gfs2-utils"": ""mandatory"", ""glibc-all-langpacks"": ""mandatory"", ""grub2-efi-ia32"": ""mandatory"", ""grub2-efi-ia32-cdboot"": ""mandatory"", ""grub2-efi-x64"": ""mandatory"", ""grub2-efi-x64-cdboot"": ""mandatory"", ""grub2-pc"": ""mandatory"", ""grub2-tools"": ""mandatory"", ""grub2-tools-efi"": ""mandatory"", ""grub2-tools-extra"": ""mandatory"", ""grubby"": ""mandatory"", ""hfsplus-tools"": ""mandatory"", ""iscsi-initiator-utils"": ""mandatory"", ""kbd-legacy"": ""mandatory"", ""kexec-tools"": ""mandatory"", ""lvm2"": ""mandatory"", ""mactel-boot"": ""mandatory"", ""mdadm"": ""mandatory"", ""ntfsprogs"": ""mandatory"", ""nvme-cli"": ""mandatory"", ""realmd"": ""mandatory"", ""shim-ia32"": ""mandatory"", ""shim-x64"": ""mandatory"", ""teamd"": ""mandatory"", ""xfsprogs"": ""mandatory"", ""device-mapper-multipath"": ""optional"", ""fcoe-utils"": ""optional"", ""sdubby"": ""optional""}",true,false
"Container Management,容器管理","Tools for managing Linux containers,用于管理 Linux 容器的工具","{""podman"": ""default"", ""buildah"": ""optional"", ""flatpak"": ""optional"", ""flatpak-builder"": ""optional"", ""skopeo"": ""optional"", ""toolbox"": ""optional""}",true,true
"Core,核心","Smallest possible installation,精简安装","{""audit"": ""mandatory"", ""basesystem"": ""mandatory"", ""bash"": ""mandatory"", ""coreutils"": ""mandatory"", ""curl"": ""mandatory"", ""dhcp-client"": ""mandatory"", ""dnf"": ""mandatory"", ""e2fsprogs"": ""mandatory"", ""filesystem"": ""mandatory"", ""glibc"": ""mandatory"", ""hostname"": ""mandatory"", ""iproute"": ""mandatory"", ""iputils"": ""mandatory"", ""kbd"": ""mandatory"", ""less"": ""mandatory"", ""man-db"": ""mandatory"", ""ncurses"": ""mandatory"", ""openssh-clients"": ""mandatory"", ""openssh-server"": ""mandatory"", ""parted"": ""mandatory"", ""policycoreutils"": ""mandatory"", ""procps-ng"": ""mandatory"", ""rootfiles"": ""mandatory"", ""rpm"": ""mandatory"", ""selinux-policy-targeted"": ""mandatory"", ""setup"": ""mandatory"", ""shadow-utils"": ""mandatory"", ""sssd-common"": ""mandatory"", ""sssd-kcm"": ""mandatory"", ""sudo"": ""mandatory"", ""systemd"": ""mandatory"", ""util-linux"": ""mandatory"", ""vim-minimal"": ""mandatory"", ""yum"": ""mandatory"", ""NetworkManager"": ""default"", ""dnf-plugins-core"": ""default"", ""dracut-config-rescue"": ""default"", ""firewalld"": ""default"", ""fwupd"": ""default"", ""plymouth"": ""default"", ""systemd-resolved"": ""default"", ""zram-generator-defaults"": ""default"", ""dracut-config-generic"": ""optional"", ""initial-setup"": ""optional"", ""initscripts"": ""optional""}",true,false
"Domain Membership,域成员资格","Support for joining a FreeIPA or Active Directory Domain,支持加入 FreeIPA 或 Active Directory 域","{""adcli"": ""mandatory"", ""freeipa-client"": ""mandatory"", ""oddjob-mkhomedir"": ""mandatory"", ""samba-common-tools"": ""mandatory"", ""samba-winbind"": ""mandatory"", ""sssd-ad"": ""mandatory"", ""sssd-ipa"": ""mandatory"", ""libsss_autofs"": ""default"", ""libsss_sudo"": ""default"", ""sssd-nfs-idmap"": ""default""}",true,true
"Guest Agents,虚拟机代理","Agents used when running under a hypervisor.,在虚拟机管理器下运行时使用的代理程序。","{""open-vm-tools"": ""mandatory"", ""qemu-guest-agent"": ""mandatory""}",true,false
"Hardware Support,硬件支持","This group is a collection of tools for various hardware specific utilities.,这组是针对各种硬件特制的实用程序的工具合集。","{""zd1211-firmware"": ""optional""}",true,false
"Headless Management,无头设备（Headless）管理","Tools for managing the system without an attached graphical console.,用于管理无图形终端系统的工具。","{""PackageKit"": ""mandatory"", ""cockpit"": ""mandatory"", ""openssh-server"": ""mandatory"", ""cockpit-networkmanager"": ""default"", ""cockpit-packagekit"": ""default"", ""cockpit-selinux"": ""default"", ""cockpit-storaged"": ""default"", ""udisks2-iscsi"": ""default"", ""udisks2-lvm2"": ""default"", ""cockpit-pcp"": ""optional""}",true,true
"Common NetworkManager Submodules,常用 NetworkManager 子模块","This group contains NetworkManager submodules that are commonly used, but may not be wanted in some streamlined configurations.,该组包含了常用的 NetworkManager 子模块，但可能不适合用于某些流水化配置中。","{""NetworkManager-bluetooth"": ""default"", ""NetworkManager-wifi"": ""default"", ""NetworkManager-wwan"": ""default"", ""dhcp-client"": ""default"", ""dnsmasq"": ""default"", ""iptables-nft"": ""default"", ""wpa_supplicant"": ""default""}",true,false
"VMware Platform Support,VMware平台支持","Packages to install in VMware virtual machines,在 VMware 虚拟机中安装软件包","{""open-vm-tools"": ""mandatory""}",true,false
"Hardware Support for Server Systems,服务器系统硬件支持","This group is a limited collection of tools for various uncommon hardware specific utilities.,该包组为各种不常见的硬件相关应用程序提供一组工具集。","{""qed-firmware"": ""optional""}",true,false
