name,description,packagelist,default,uservisible
"Additional Development,附加开发","Additional development headers and libraries for building open-source applications.,用于构建开源应用程序的附加开发标头及程序可。","{""audit-libs-devel"": ""mandatory"", ""bzip2-devel"": ""mandatory"", ""c-ares-devel"": ""mandatory"", ""cyrus-sasl-devel"": ""mandatory"", ""e2fsprogs-devel"": ""mandatory"", ""elfutils-devel"": ""mandatory"", ""elfutils-libelf-devel"": ""mandatory"", ""expat-devel"": ""mandatory"", ""fuse3-devel"": ""mandatory"", ""gmp-devel"": ""mandatory"", ""lksctp-tools-devel"": ""mandatory"", ""iptables-devel"": ""mandatory"", ""libacl-devel"": ""mandatory"", ""libaio-devel"": ""mandatory"", ""libattr-devel"": ""mandatory"", ""libblkid-devel"": ""mandatory"", ""libcap-devel"": ""mandatory"", ""libcap-ng-devel"": ""mandatory"", ""libcurl-devel"": ""mandatory"", ""libffi-devel"": ""mandatory"", ""libgcrypt-devel"": ""mandatory"", ""libnl3-devel"": ""mandatory"", ""libselinux-devel"": ""mandatory"", ""libusbx-devel"": ""mandatory"", ""libuuid-devel"": ""mandatory"", ""lz4"": ""mandatory"", ""lz4-devel"": ""mandatory"", ""lzo"": ""mandatory"", ""lzo-devel"": ""mandatory"", ""numactl-devel"": ""mandatory"", ""pciutils-devel"": ""mandatory"", ""pcre-devel"": ""mandatory"", ""polkit-devel"": ""mandatory"", ""popt-devel"": ""mandatory"", ""rdma-core-devel"": ""mandatory"", ""readline-devel"": ""mandatory"", ""sqlite-devel"": ""mandatory"", ""systemd-devel"": ""mandatory"", ""tcl-devel"": ""mandatory"", ""xfsprogs-devel"": ""mandatory"", ""xz-devel"": ""mandatory"", ""SDL-devel"": ""mandatory"", ""alsa-lib-devel"": ""mandatory"", ""binutils-devel"": ""mandatory"", ""boost-devel"": ""mandatory"", ""dbus-glib-devel"": ""mandatory"", ""gd-devel"": ""mandatory"", ""gnutls-devel"": ""mandatory"", ""gpm-devel"": ""mandatory"", ""gstreamer1-devel"": ""mandatory"", ""gstreamer1-plugins-base-devel"": ""mandatory"", ""gvfs-devel"": ""mandatory"", ""hunspell-devel"": ""mandatory"", ""java-1.8.0-openjdk-devel"": ""mandatory"", ""libXau-devel"": ""mandatory"", ""libXaw-devel"": ""mandatory"", ""libXinerama-devel"": ""mandatory"", ""libXmu-devel"": ""mandatory"", ""libXrandr-devel"": ""mandatory"", ""libcanberra-devel"": ""mandatory"", ""libdrm-devel"": ""mandatory"", ""libnotify-devel"": ""mandatory"", ""libpfm-devel"": ""mandatory"", ""libpq-devel"": ""mandatory"", ""librsvg2-devel"": ""mandatory"", ""libsoup-devel"": ""mandatory"", ""libssh-devel"": ""mandatory"", ""libtiff-devel"": ""mandatory"", ""libxslt-devel"": ""mandatory"", ""mariadb-devel"": ""mandatory"", ""mpfr-devel"": ""mandatory"", ""net-snmp-devel"": ""mandatory"", ""newt-devel"": ""mandatory"", ""openscap-devel"": ""mandatory"", ""papi-devel"": ""mandatory"", ""protobuf-c"": ""mandatory"", ""sane-backends-devel"": ""mandatory"", ""slang-devel"": ""mandatory"", ""startup-notification-devel"": ""mandatory"", ""tbb-devel"": ""mandatory"", ""tk-devel"": ""mandatory"", ""unixODBC-devel"": ""mandatory"", ""xorg-x11-proto-devel"": ""mandatory"", ""flatpak"": ""optional""}",true,false
"Anaconda tools,Anaconda 工具",",","{""lorax"": ""mandatory"", ""chrony"": ""mandatory"", ""cryptsetup"": ""mandatory"", ""device-mapper-multipath"": ""mandatory"", ""dosfstools"": ""mandatory"", ""dracut-network"": ""mandatory"", ""e2fsprogs"": ""mandatory"", ""efibootmgr"": ""mandatory"", ""fcoe-utils"": ""mandatory"", ""firewalld"": ""mandatory"", ""gfs2-utils"": ""mandatory"", ""glibc-all-langpacks"": ""mandatory"", ""grub2-efi-x64"": ""mandatory"", ""grub2-efi-x64-cdboot"": ""mandatory"", ""grub2-tools"": ""mandatory"", ""grub2-tools-extra"": ""mandatory"", ""iscsi-initiator-utils"": ""mandatory"", ""lvm2"": ""mandatory"", ""mdadm"": ""mandatory"", ""realmd"": ""mandatory"", ""shim"": ""mandatory"", ""libteam"": ""mandatory"", ""tmux"": ""mandatory"", ""xfsprogs"": ""mandatory"", ""authselect-compat"": ""mandatory"", ""kdump-anaconda-addon"": ""mandatory""}",false,false
"Base,基本","The standard installation.,","{""acl"": ""mandatory"", ""at"": ""mandatory"", ""attr"": ""mandatory"", ""bc"": ""mandatory"", ""cpio"": ""mandatory"", ""crontabs"": ""mandatory"", ""cyrus-sasl"": ""mandatory"", ""dbus"": ""mandatory"", ""ed"": ""mandatory"", ""file"": ""mandatory"", ""iptstate"": ""mandatory"", ""irqbalance"": ""mandatory"", ""kpatch"": ""mandatory"", ""logrotate"": ""mandatory"", ""lsof"": ""mandatory"", ""net-tools"": ""mandatory"", ""pciutils"": ""mandatory"", ""psacct"": ""mandatory"", ""quota"": ""mandatory"", ""openEuler-release"": ""mandatory"", ""openEuler-latest-release"": ""mandatory"", ""sudo"": ""mandatory"", ""symlinks"": ""mandatory"", ""systemd-udev"": ""mandatory"", ""tar"": ""mandatory"", ""tree"": ""mandatory"", ""util-linux-user"": ""mandatory"", ""bash-completion"": ""default"", ""bpftool"": ""default"", ""bzip2"": ""default"", ""chrony"": ""default"", ""cockpit"": ""default"", ""cryptsetup"": ""default"", ""dos2unix"": ""default"", ""dosfstools"": ""default"", ""ethtool"": ""default"", ""gnupg2"": ""default"", ""libstoragemgmt"": ""default"", ""lvm2"": ""default"", ""mailcap"": ""default"", ""man-pages"": ""default"", ""mdadm"": ""default"", ""mlocate"": ""default"", ""mtr"": ""default"", ""nano"": ""default"", ""realmd"": ""default"", ""rng-tools"": ""default"", ""rsync"": ""default"", ""smartmontools"": ""default"", ""sssd"": ""default"", ""strace"": ""default"", ""libteam"": ""default"", ""time"": ""default"", ""unzip"": ""default"", ""usbutils"": ""default"", ""virt-what"": ""default"", ""which"": ""default"", ""words"": ""default"", ""xfsdump"": ""default"", ""zip"": ""default"", ""cifs-utils"": ""optional"", ""cockpit-doc"": ""optional"", ""ima-evm-utils"": ""optional"", ""nfs-utils"": ""optional"", ""traceroute"": ""optional"", ""zsh"": ""optional""}",true,false
"Conflicts BaseOS,与 BaseOS 冲突","This group includes packages conflicting with an everything installation from the BaseOS repo,这个组包括了与通过 BaseOS repo 安装的软件冲突的软件包",{},false,false
"Container Management,容器管理","Tools for managing Linux containers,用于管理 Linux 容器的工具","{""containernetworking-plugins"": ""mandatory""}",true,true
"Core,核心","Smallest possible installation,最小安装","{""audit"": ""mandatory"", ""kernel"": ""mandatory"", ""basesystem"": ""mandatory"", ""bash"": ""mandatory"", ""coreutils"": ""mandatory"", ""cronie"": ""mandatory"", ""curl"": ""mandatory"", ""dnf"": ""mandatory"", ""e2fsprogs"": ""mandatory"", ""filesystem"": ""mandatory"", ""firewalld"": ""mandatory"", ""glibc"": ""mandatory"", ""grubby"": ""mandatory"", ""hostname"": ""mandatory"", ""initscripts"": ""mandatory"", ""iproute"": ""mandatory"", ""iprutils"": ""mandatory"", ""iputils"": ""mandatory"", ""irqbalance"": ""mandatory"", ""kbd"": ""mandatory"", ""kexec-tools"": ""mandatory"", ""less"": ""mandatory"", ""man-db"": ""mandatory"", ""ncurses"": ""mandatory"", ""openssh"": ""mandatory"", ""openssh-server"": ""mandatory"", ""openssh-clients"": ""mandatory"", ""openEuler-release"": ""mandatory"", ""openEuler-latest-release"": ""mandatory"", ""parted"": ""mandatory"", ""passwd"": ""mandatory"", ""policycoreutils"": ""mandatory"", ""procps-ng"": ""mandatory"", ""rng-tools"": ""mandatory"", ""rootfiles"": ""mandatory"", ""rpm"": ""mandatory"", ""selinux-policy-targeted"": ""mandatory"", ""setup"": ""mandatory"", ""shadow"": ""mandatory"", ""sssd"": ""mandatory"", ""sudo"": ""mandatory"", ""systemd"": ""mandatory"", ""tuned"": ""mandatory"", ""util-linux"": ""mandatory"", ""vim-minimal"": ""mandatory"", ""xfsprogs"": ""mandatory"", ""yum"": ""mandatory"", ""wget"": ""mandatory"", ""NetworkManager"": ""default"", ""NetworkManager-config-server"": ""default"", ""authselect"": ""default"", ""dnf-plugins-core"": ""default"", ""dracut-config-rescue"": ""default"", ""kernel-tools"": ""default"", ""sysfsutils"": ""default"", ""linux-firmware"": ""default"", ""lshw"": ""default"", ""lsscsi"": ""default"", ""rsyslog"": ""default"", ""security-tool"": ""default"", ""sg3_utils"": ""default"", ""dracut-config-generic"": ""optional"", ""dracut-network"": ""optional"", ""rdma-core"": ""optional"", ""selinux-policy-mls"": ""optional""}",true,false
"Desktop Debugging and Performance Tools,桌面调试和运行工具","GUI tools for debugging applications and performance.,调试应用程序和性能的 GUI 工具。","{""crash"": ""default"", ""crash-gcore-command"": ""default"", ""crash-trace-command"": ""default"", ""xrestop"": ""optional""}",true,false
"Development Tools,开发工具","A basic development environment.,基本开发环境。","{""autoconf"": ""mandatory"", ""automake"": ""mandatory"", ""binutils"": ""mandatory"", ""bison"": ""mandatory"", ""flex"": ""mandatory"", ""gcc"": ""mandatory"", ""gcc-c++"": ""mandatory"", ""glibc-devel"": ""mandatory"", ""gettext"": ""mandatory"", ""gdb"": ""mandatory"", ""libtool"": ""mandatory"", ""make"": ""mandatory"", ""patch"": ""mandatory"", ""pkgconf"": ""mandatory"", ""openEuler-rpm-config"": ""mandatory"", ""rpm-build"": ""mandatory"", ""rpm"": ""mandatory"", ""asciidoc"": ""default"", ""byacc"": ""default"", ""ctags"": ""default"", ""diffstat"": ""default"", ""elfutils"": ""default"", ""gcc-gfortran"": ""default"", ""git"": ""default"", ""subversion"": ""default"", ""intltool"": ""default"", ""ltrace"": ""default"", ""patchutils"": ""default"", ""perl-Fedora-VSP"": ""default"", ""perl-generators"": ""default"", ""pesign"": ""default"", ""source-highlight"": ""default"", ""systemtap"": ""default"", ""valgrind"": ""default"", ""valgrind-devel"": ""default"", ""babel"": ""optional"", ""chrpath"": ""optional"", ""expect"": ""optional"", ""gcc-objc"": ""optional"", ""gcc-objc++"": ""optional"", ""mercurial"": ""optional"", ""mod_dav_svn"": ""optional"", ""systemtap-sdt-devel"": ""optional"", ""systemtap-server"": ""optional"", ""cmake"": ""optional"", ""rpmdevtools"": ""optional"", ""rpmlint"": ""optional""}",true,true
"Dial-up Networking Support,拨号网络支持",",","{""ppp"": ""mandatory"", ""ModemManager"": ""default"", ""NetworkManager-adsl"": ""default"", ""lrzsz"": ""default"", ""minicom"": ""default""}",true,false
"DNS Name Server,DNS 名称服务器","This package group allows you to run a DNS name server (BIND) on the system.,该软件包组允许您在系统上运行 DNS 名称服务器(BIND)。","{""bind"": ""default"", ""bind-chroot"": ""default"", ""bind-dyndb-ldap"": ""optional"", ""unbound"": ""optional""}",false,false
