name,description,packagelist,default,uservisible
"Additional Development,附加开发","Additional development headers and libraries for building open-source applications.,用于构建开源应用程序的附加开发标头及程序可。","{""SDL2-devel"": ""mandatory"", ""alsa-lib-devel"": ""mandatory"", ""atlas-devel"": ""mandatory"", ""audit-devel"": ""mandatory"", ""binutils-devel"": ""mandatory"", ""boost-devel"": ""mandatory"", ""bzip2-devel"": ""mandatory"", ""c-ares-devel"": ""mandatory"", ""cups-devel"": ""mandatory"", ""cyrus-sasl-devel"": ""mandatory"", ""dbus-glib-devel"": ""mandatory"", ""e2fsprogs-devel"": ""mandatory"", ""elfutils-devel"": ""mandatory"", ""elfutils-libelf-devel"": ""mandatory"", ""evolution-data-server-devel"": ""mandatory"", ""expat-devel"": ""mandatory"", ""fuse3-devel"": ""mandatory"", ""gd-devel"": ""mandatory"", ""gmp-devel"": ""mandatory"", ""gnome-desktop3-devel"": ""mandatory"", ""gnutls-devel"": ""mandatory"", ""gpm-devel"": ""mandatory"", ""gsl-devel"": ""mandatory"", ""gstreamer1-devel"": ""mandatory"", ""gstreamer1-plugins-base-devel"": ""mandatory"", ""gvfs-devel"": ""mandatory"", ""hunspell-devel"": ""mandatory"", ""iptables-devel"": ""mandatory"", ""libXau-devel"": ""mandatory"", ""libXaw-devel"": ""mandatory"", ""libXinerama-devel"": ""mandatory"", ""libXmu-devel"": ""mandatory"", ""libXpm-devel"": ""mandatory"", ""libXrandr-devel"": ""mandatory"", ""libacl-devel"": ""mandatory"", ""libaio-devel"": ""mandatory"", ""libattr-devel"": ""mandatory"", ""libblkid-devel"": ""mandatory"", ""libcanberra-devel"": ""mandatory"", ""libcap-devel"": ""mandatory"", ""libcap-ng-devel"": ""mandatory"", ""libcurl-devel"": ""mandatory"", ""libdrm-devel"": ""mandatory"", ""libffi-devel"": ""mandatory"", ""libgcrypt-devel"": ""mandatory"", ""libnl3-devel"": ""mandatory"", ""libnotify-devel"": ""mandatory"", ""libpfm-devel"": ""mandatory"", ""libpq-devel"": ""mandatory"", ""librsvg2-devel"": ""mandatory"", ""librsvg2-tools"": ""mandatory"", ""libselinux-devel"": ""mandatory"", ""libsoup-devel"": ""mandatory"", ""libssh-devel"": ""mandatory"", ""libtiff-devel"": ""mandatory"", ""libusbx-devel"": ""mandatory"", ""libuuid-devel"": ""mandatory"", ""libva-devel"": ""mandatory"", ""libxslt-devel"": ""mandatory"", ""lksctp-tools-devel"": ""mandatory"", ""lz4-devel"": ""mandatory"", ""lzo-devel"": ""mandatory"", ""motif-devel"": ""mandatory"", ""mpfr-devel"": ""mandatory"", ""net-snmp-devel"": ""mandatory"", ""newt-devel"": ""mandatory"", ""numactl-devel"": ""mandatory"", ""openscap-devel"": ""mandatory"", ""papi-devel"": ""mandatory"", ""pciutils-devel"": ""mandatory"", ""pcre-devel"": ""mandatory"", ""pipewire-devel"": ""mandatory"", ""polkit-devel"": ""mandatory"", ""popt-devel"": ""mandatory"", ""rdma-core-devel"": ""mandatory"", ""readline-devel"": ""mandatory"", ""sane-backends-devel"": ""mandatory"", ""scl-utils"": ""mandatory"", ""scl-utils-build"": ""mandatory"", ""slang-devel"": ""mandatory"", ""sqlite-devel"": ""mandatory"", ""startup-notification-devel"": ""mandatory"", ""systemd-devel"": ""mandatory"", ""tbb-devel"": ""mandatory"", ""tcl-devel"": ""mandatory"", ""tk-devel"": ""mandatory"", ""xfsprogs-devel"": ""mandatory"", ""xorg-x11-proto-devel"": ""mandatory"", ""xz-devel"": ""mandatory""}",true,false
"Anaconda tools,Anaconda 工具",",","{""xfsprogs"": ""mandatory""}",false,false
"Base,基本","The standard installation of OpenCloudOS.,","{""zsh"": ""optional""}",true,false
"base-x,base-x","Local X.org display server,Local X.org 显示服务器","{""glx-utils"": ""mandatory"", ""mesa-dri-drivers"": ""mandatory"", ""plymouth-system-theme"": ""mandatory"", ""xorg-x11-drv-evdev"": ""mandatory"", ""xorg-x11-drv-fbdev"": ""mandatory"", ""xorg-x11-drv-libinput"": ""mandatory"", ""xorg-x11-drv-wacom"": ""mandatory"", ""xorg-x11-server-Xorg"": ""mandatory"", ""xorg-x11-xauth"": ""mandatory"", ""xorg-x11-xinit"": ""mandatory"", ""xorg-x11-xinit-session"": ""mandatory""}",true,false
"C Development Tools and Libraries,C 语言开发工具和库","These tools include core development tools such as make.,这些工具包括了核心开发工具，如 make。","{""elfutils"": ""default""}",false,true
"Container Management,容器管理","Tools for managing Linux containers.,用于管理 Linux 容器的工具。","{""moby"": ""mandatory""}",true,true
"Core,核心","Smallest possible installation,最小安装","{""tboot"": ""optional""}",true,false
"Debugging Tools,调试工具","Tools for debugging misbehaving applications and diagnosing performance problems.,调试行为异常程序以及诊断性能问题的工具。","{""gdb"": ""mandatory"", ""systemtap-runtime"": ""mandatory"", ""crash"": ""default"", ""valgrind"": ""default"", ""valgrind-devel"": ""default"", ""bpftrace"": ""optional"", ""gdb-gdbserver"": ""optional"", ""glibc-utils"": ""optional"", ""systemtap-client"": ""optional"", ""systemtap-initscript"": ""optional""}",true,false
"Development Tools,开发工具","A basic development environment.,基本开发环境。","{""expect"": ""optional""}",true,true
"DNS Name Server,DNS 名称服务器","This package group allows you to run a DNS name server (BIND) on the system.,该软件包组允许您在系统上运行 DNS 名称服务器(BIND)。","{""bind"": ""optional"", ""unbound"": ""optional""}",true,false
